person_id,camera_id,tracklets_id,motion,pose,occlusion,cut-out,muti-person,background-dominant,target-change,target-miss,wrong-target,backpack,bag,handbag,boots,gender,hat,shoes,top,bottom color,top color
1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,6,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2,1,2197,3,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
3,1,2198,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2199,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,1
5,2,2200,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0
5,5,2201,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0
5,6,2202,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0
7,2,2203,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2
8,1,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
8,2,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
8,3,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
8,4,7,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
9,1,2204,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0
10,1,2205,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,2206,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,4
12,1,2207,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
13,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
13,2,9,0,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4,0
13,5,10,0,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4,0
13,6,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
14,1,12,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1
14,2,13,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1
14,5,14,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1
14,6,15,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1
15,1,16,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,3,2
15,8,17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2
16,1,18,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
16,8,19,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
17,1,20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
17,8,21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
18,1,22,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,5
18,2,23,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,5
19,1,2208,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
19,2,2209,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
19,5,2210,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
19,6,2211,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
20,1,24,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,2
20,6,25,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2
20,7,26,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4,2
20,8,27,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,2
21,1,2212,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4,0
21,6,2213,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0
21,7,2214,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0
21,8,2215,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0
22,1,28,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
22,2,29,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
22,3,30,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0
22,4,31,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
23,1,2216,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,6,2
23,2,2217,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,2
23,3,2218,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,6,2
23,4,2219,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,2
24,1,32,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5
24,2,33,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5
